external_gene_name,NIH_accession,NIH_description,GO terms
CDC14B,cdc14b,cell division cycle 14B,
,LOC111573476,intracellular hyaluronan-binding protein 4-like,RNA binding
ZNF367,znf367,zinc finger protein 367,
slc35d2,slc35d2,solute carrier family 35 member D2,
CKAP2L,ckap2l,cytoskeleton associated protein 2-like,cytoplasm
arl15a,arl15a,ADP-ribosylation factor-like 15a,
SNX18,snx18a,sorting nexin 18a,
rgs12b,rgs12b,regulator of G protein signaling 12b,
AACS,aacs,acetoacetyl-CoA synthetase,nucleotide binding
ELL,ell,elongation factor RNA polymerase II,
GPR82,LOC111570831,probable G-protein coupled receptor 82,membrane
gpr34b,LOC111570832,probable G-protein coupled receptor 34,
COQ10B,coq10b,coenzyme Q10B,
FAM20B,fam20b,FAM20B glycosaminoglycan xylosylkinase,proteoglycan biosynthetic process
FKBP8,fkbp8,FKBP prolyl isomerase 8,
fam78bb,fam78bb,family with sequence similarity 78 member Bb,
slc35a3a,slc35a3a,solute carrier family 35 member A3a,
DCUN1D4,dcun1d4,"DCN1, defective in cullin neddylation 1, domain containing 4 (S. cerevisiae)",
adam8b,,,metal ion binding
TUBGCP2,tubgcp2,tubulin gamma complex component 2,cytoplasm
,clcf1,cardiotrophin-like cytokine factor 1,
fhl1a,fhl1a,four and a half LIM domains 1a,
map7d3,map7d3,MAP7 domain containing 3,microtubule cytoskeleton organization
si:ch211-114c17.1,si:ch211-114c17.1,pre-mRNA-processing factor 39,RNA processing
slc43a1a,slc43a1a,solute carrier family 43 member 1a,
med19a,med19a,mediator complex subunit 19a,
si:dkey-6i22.5,si:dkey-6i22.5,polyamine-modulated factor 1,
tmx2a,tmx2a,thioredoxin-related transmembrane protein 2a,membrane
zdhhc5b,zdhhc5b,zinc finger DHHC-type palmitoyltransferase 5b,membrane
CXCL14,cxcl14,chemokine (C-X-C motif) ligand 14,
FAM13B,fam13b,family with sequence similarity 13 member B,signal transduction
UBXN1,ubxn1,UBX domain protein 1,
ehd1a,ehd1a,EH-domain containing 1a,cilium assembly
map1lc3cl,map1lc3cl,"microtubule-associated protein 1 light chain 3 gamma, like",
si:ch211-168f7.5,si:ch211-168f7.5,mucin-2,
TTC9C,ttc9c,tetratricopeptide repeat domain 9C,otolith morphogenesis
,LOC111581113,high-affinity choline transporter 1-like,
dpf2l,LOC111581108,zinc finger protein ubi-d4-like,
slc24a6a,LOC111581109,sodium/potassium/calcium exchanger 3-like,
ZDHHC24,zdhhc24,zinc finger DHHC-type containing 24,
pola2,pola2,"polymerase (DNA directed), alpha 2",
dera,,,
E2F7,e2f7,E2F transcription factor 7,DNA binding
fbxo18,fbxo18,F-box DNA helicase 1,nucleotide binding
PRAME,cpped1,calcineurin-like phosphoesterase domain containing 1,
RBM17,rbm17,RNA binding motif protein 17,
shisa9a,shisa9a,shisa family member 9a,membrane
ALDH18A1,,,
KCNG1,kcng1,"potassium voltage-gated channel, subfamily G, member 1",
NOL9,nol9,nucleolar protein 9,"cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
ZBTB48,zbtb48,zinc finger and BTB domain containing 48,metal ion binding
RALGAPB,,,
PFKFB3,pfkfb3,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3",
rps27.1,rps27.1,ribosomal protein S27,metal ion binding
si:ch211-81a5.5,lrrc71,leucine rich repeat containing 71,
SNRPD1,snrpd1,small nuclear ribonucleoprotein D1 polypeptide,heart development
ankib1a,LOC111563777,ankyrin repeat and IBR domain-containing protein 1-like,
SELENOS,,,
cngb1b,LOC118470995,piggyBac transposable element-derived protein 4-like,
HDDC3,hddc3,HD domain containing 3,
vps33b,vps33b,VPS33B late endosome and lysosome associated,protein transport
FIBCD1,fibcd1b,fibrinogen C domain containing 1b,
fnbp1b,,,
mxra5a,LOC111582117,serine-rich adhesin for platelets,
RALGPS2,ralgps2,Ral GEF with PH domain and SH3 binding motif 2,
c6ast1,,,metal ion binding
mctp2b,LOC111563323,multiple C2 and transmembrane domain-containing protein 2-like,
chrnb3a,chrnb3a,cholinergic receptor nicotinic beta 3 subunit a,
DNAH6,dnah6,"dynein, axonemal, heavy chain 6",membrane
uncx4.1,LOC111578004,homeobox protein unc-4 homolog,DNA binding
CEP83,,,
junba,LOC111568180,transcription factor JunB-like,
rasd3,rasd3,RASD family member 3,
,LOC111577331,myeloid-associated differentiation marker homolog,membrane
ADRA2C,adra2c,adrenoceptor alpha 2C,alpha2-adrenergic receptor activity
SNRPA1,snrpa1,small nuclear ribonucleoprotein polypeptide A',
SCARNA14,LOC111567214,small Cajal body-specific RNA 14,RNA processing
,LOC111563330,myocyte-specific enhancer factor 2A-like,DNA binding
,LOC111577595,protein CutA homolog,
NOSTRIN,LOC111583391,C-type lectin domain family 4 member M-like,membrane
FITM2,fitm2,fat storage inducing transmembrane protein 2,
R3HDML,r3hdml,R3H domain containing-like,
prc1b,prc1b,protein regulator of cytokinesis 1b,
HNF4A,hnf4a,"hepatocyte nuclear factor 4, alpha",
rassf7b,,,
ABCC12,LOC111574418,ATP-binding cassette sub-family C member 12-like,
RNF19A,rnf19a,"ring finger protein 19A, RBR E3 ubiquitin protein ligase",
spag1a,spag1a,sperm associated antigen 1a,
ggcta,,,lyase activity
SLCO4A1,LOC111584290,solute carrier organic anion transporter family member 4A1-like,
pdlim2,pdlim2,PDZ and LIM domain 2 (mystique),
rab3ip,,,metal ion binding
ZNF703,znf703,zinc finger protein 703,histone deacetylase binding
angptl1a,angptl1a,angiopoietin-like 1a,angiogenesis
SGCB,sgcb,"sarcoglycan, beta (dystrophin-associated glycoprotein)",membrane
KLHL21,klhl21,kelch-like family member 21,
NCOR2,ncor2,nuclear receptor corepressor 2,
zgc:86609,zgc:86609,TMCO1/EMC3 family protein,
ECT2,ect2,epithelial cell transforming 2,
PREX1,prex1,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1",
adnp2b,adnp2b,ADNP homeobox 2b,metal ion binding
POLR2K,polr2k,"RNA polymerase II, I and III subunit K",
STK3,stk3,"serine/threonine kinase 3 (STE20 homolog, yeast)",
dlg5b.1,LOC111583351,disks large homolog 5-like,
fsta,fsta,follistatin a,dorsal/ventral pattern formation
NDUFS4,ndufs4,NADH:ubiquinone oxidoreductase subunit S4,
il12ba,,,extracellular region
rassf2a,rassf2a,Ras association domain family member 2a,
dtnbp1a,LOC111569468,dysbindin-A-like,
h2az2a,,,
,LOC111569450,uncharacterized LOC111569450,
csmd3a,,,
,tstd1,thiosulfate sulfurtransferase like domain containing 1,
si:ch1073-303k11.2,si:ch1073-303k11.2,leucine-rich repeat neuronal protein 4,
SLC16A2,,,membrane
tmtops3a,tmtops3a,teleost multiple tissue opsin 3a,
CLP1,clp1,cleavage factor polyribonucleotide kinase subunit 1,polyribonucleotide 5'-hydroxyl-kinase activity
rtn4rl2b,rtn4rl2b,reticulon 4 receptor-like 2b,
KLHL3,klhl3,kelch-like family member 3,
PURB,LOC111583971,transcriptional activator protein Pur-beta,
CDC20B,LOC111580759,cell division cycle protein 20 homolog B,
GPX8,gpx8,glutathione peroxidase 8 (putative),oxidoreductase activity
TAB1,LOC111580765,multicilin,
NOXRED1,,,
TUT7,,,
gcgb,gcgb,glucagon b,
SLC4A10,,,
GOLPH3,golph3a,golgi phosphoprotein 3a,
PIWIL2,piwil2,piwi-like RNA-mediated gene silencing 2,
snpha,LOC111582056,syntaphilin,
fkbp1ab,fkbp1aa,FKBP prolyl isomerase 1Aa,
SLC6A6,slc6a6a,solute carrier family 6 member 6a,
g6pca.1,g6pc1a.1,"glucose-6-phosphatase catalytic subunit 1a, tandem duplicate 1",
g6pca.2,g6pc1a.2,"glucose-6-phosphatase catalytic subunit 1a, tandem duplicate 2",membrane
TMEM101,tmem101,transmembrane protein 101,
lsm12b,lsm12b,LSM12 homolog b,
G6PC3,,,
TANC2,tanc2b,"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2b",
F8,f8,"coagulation factor VIII, procoagulant component",
AHCYL1,,,one-carbon metabolic process
KDM5B,kdm5bb,lysine demethylase 5Bb,
LRRC51,LOC111573924,leucine-rich repeat-containing protein 51-like,
TDRD1,tdrd1,tudor domain containing 1,
TAOK2,taok2b,TAO kinase 2b,
RFTN2,rftn2,raftlin family member 2,
LATS2,lats2,large tumor suppressor kinase 2,BMP signaling pathway
,LOC111582518,cadherin-related family member 5,
RAG2,rag2,recombination activating gene 2,metal ion binding
FAM107B,fam107b,family with sequence similarity 107 member B,
tsg101a,tsg101a,tumor susceptibility 101a,protein transport
CPLANE2,cplane2,ciliogenesis and planar polarity effector 2,
ldha,,,
si:ch73-15b2.5,si:ch73-15b2.5,rho guanine nucleotide exchange factor 19,guanyl-nucleotide exchange factor activity
npffl,npffl,neuropeptide FF-amide peptide precursor like,
INHBC,LOC111579121,inhibin beta B chain,
nr5a1a,,,cytoplasm
ITGA7,itga7,"integrin, alpha 7",membrane
arl4cb,LOC129350104,ADP-ribosylation factor-like protein 4C,
zgc:152857,LOC111579869,olfactory receptor 6N2-like,membrane
or120-1,,,
,LOC118471415,olfactory receptor 11A1-like,
,LOC111579876,olfactory receptor 13C2-like,
,LOC111570574,tripartite motif-containing protein 16-like,
si:ch211-103f14.3,LOC111566317,zona pellucida-like domain-containing protein 1,
U2,LOC111577278,U2 spliceosomal RNA,pre-mRNA branch point binding
U2,LOC111576097,U2 spliceosomal RNA,pre-mRNA branch point binding
SNORA72,LOC111583824,small nucleolar RNA SNORA72,RNA processing
zgc:153846,LOC111586597,gamma-crystallin M3-like,
SHISA5,LOC111578054,protein shisa-5-like,
crygm5,LOC111586605,gamma-crystallin M3-like,
SDC4,sdc4,syndecan 4,
wnt2ba,wnt2ba,"wingless-type MMTV integration site family, member 2Ba",
Ctrb1,,,
mob4,,,Golgi cisterna membrane
cttnbp2nla,LOC111572487,CTTNBP2 N-terminal-like protein,
KCND3,LOC111576659,potassium voltage-gated channel subfamily D member 3-like,membrane
GLI1,gli1,GLI family zinc finger 1,metal ion binding
,LOC111576945,zinc finger E-box-binding homeobox 2-like,
SMARCD1,smarcd1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1",
HES2,LOC111568974,transcription factor HES-2-like,
,LOC111568963,transcription factor HES-5-like,protein dimerization activity
tas1r2.2,LOC111568972,taste receptor type 1 member 2-like,
TMEM100,,,membrane
si:ch211-120k19.1,,,membrane
LENEP,lenep,lens epithelial protein,
MAN2A2,man2a2,"mannosidase, alpha, class 2A, member 2",
si:ch73-81k8.2,LOC111584488,leucine-rich repeat-containing protein 72,
frem1a,frem1a,Fras1 related extracellular matrix 1a,
,LOC129349663,uncharacterized LOC129349663,
,LOC129348693,uncharacterized LOC129348693,
,LOC129348189,uncharacterized LOC129348189,
,LOC129349653,uncharacterized LOC129349653,
,LOC129349637,uncharacterized LOC129349637,
,LOC129349631,uncharacterized LOC129349631,
SCARNA10,LOC111564300,small nucleolar RNA U85,
SCARNA10,LOC111564298,small nucleolar RNA U85,
U7,LOC111571085,U7 small nuclear RNA,
mirlet7d-1,,,RISC complex
hibadhb,hibadhb,3-hydroxyisobutyrate dehydrogenase b,
,LOC111573152,serum amyloid P-component-like,
,LOC111573147,serum amyloid P-component-like,metal ion binding
negaly6,LOC111577103,urokinase plasminogen activator surface receptor-like,
fpr1,fpr1,formyl peptide receptor 1,
prss1,LOC111577098,trypsin-3,metal ion binding
prss1,LOC111577048,trypsin-3,metal ion binding
prss1,LOC129349642,trypsin-3-like,metal ion binding
STX17,,,
CCDC12,,,
PON1,LOC111577043,serum paraoxonase/arylesterase 2-like,metal ion binding
PON1,LOC111577061,serum paraoxonase/arylesterase 2-like,metal ion binding
NAT14,nat14,"N-acetyltransferase 14 (GCN5-related, putative)",
gstk4,LOC111576831,glutathione S-transferase kappa 1-like,
si:dkey-193c22.2,,,membrane
TMEM132C,si:dkey-215k6.1,transmembrane protein 132C,membrane
gnai2a,LOC111585789,guanine nucleotide-binding protein G(q) subunit alpha-like,
AMACR,amacr,alpha-methylacyl-CoA racemase,membrane
SLC45A2,slc45a2,solute carrier family 45 member 2,
LIN54,lin54,lin-54 DREAM MuvB core complex component,
notch1b,LOC111574700,notch receptor 1,
gnal2,LOC111586146,"guanine nucleotide binding protein (G protein), alpha activating activity polypeptide, olfactory type",
NASP,nasp,nuclear autoantigenic sperm protein (histone-binding),nucleus
gpc5b,LOC111567448,glypican-5-like,
gpc1a,gpc1a,glypican 1a,membrane
klf17,LOC111564069,Krueppel-like factor 2,nucleus
eps15l1a,eps15l1a,epidermal growth factor receptor pathway substrate 15-like 1a,
rad23ab,rad23ab,"RAD23 homolog A, nucleotide excision repair protein b",
ccdc85ca,,,
TSPAN5,tspan5a,tetraspanin 5a,
CALR3,calr3a,calreticulin 3a,
ARHGAP39,,,signal transduction
si:ch1073-342h5.2,lrrc41,leucine rich repeat containing 41,
EPHB1,LOC111567450,ephrin type-B receptor 1-like,membrane
HS3ST2,LOC111584633,heparan sulfate glucosamine 3-O-sulfotransferase 2-like,
lrrc4bb,lrrc4bb,leucine rich repeat containing 4Bb,
,LOC111584604,testicular acid phosphatase homolog,
gabrr2b,LOC111580831,gamma-aminobutyric acid receptor subunit rho-2-like,membrane
,mybpc2b,myosin binding protein Cb,
DLL4,dll4,delta-like 4 (Drosophila),membrane
SEL1L,sel1l,SEL1L adaptor subunit of SYVN1 ubiquitin ligase,
RAP1GDS1,rap1gds1,"RAP1, GTP-GDP dissociation stimulator 1",
FAM20A,fam20a,FAM20A golgi associated secretory pathway pseudokinase,
fopnl,cep20,centrosomal protein 20,
,LOC111577704,long-chain fatty acid transport protein 2-like,
myh11a,myh11a,"myosin, heavy chain 11a, smooth muscle",
PTPMT1,ptpmt1,protein tyrosine phosphatase mitochondrial 1,
ABCC12,abcc12,"ATP-binding cassette, sub-family C (CFTR/MRP), member 12",
CACNA2D1,LOC111564876,voltage-dependent calcium channel subunit alpha-2/delta-1,
ZCCHC14,,,nucleus
nfyal,nfyal,"nuclear transcription factor Y, alpha, like",
pard6gb,pard6gb,par-6 family cell polarity regulator gamma b,
HERPUD2,LOC111569695,homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 2 protein,membrane
UBAP2L,ubap2l,ubiquitin associated protein 2-like,
cacnb3b,,,monoatomic ion transport
si:ch211-132g1.7,,,membrane
zgc:110699,zgc:110699,uncharacterized LOC111585696,
NDUFS1,LOC111585688,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial-like",
sema3bl,sema3bl,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3bl",
RAB2A,rab2a,"RAB2A, member RAS oncogene family",
RASGEF1C,LOC111573440,ras-GEF domain-containing family member 1C-like,
CA8,ca8,carbonic anhydrase VIII,
TOX,tox,thymocyte selection-associated high mobility group box,DNA binding
CRYZ,,,
,LOC111569088,serine/threonine-protein kinase MAK-like,
DAZAP2,dazap2,DAZ associated protein 2,
si:ch211-210c8.7,,,membrane
TRH,trh,thyrotropin-releasing hormone,extracellular region
igfn1.2,,,membrane
GRM4,LOC111572090,metabotropic glutamate receptor 4,membrane
PAK1IP1,pak1ip1,PAK1 interacting protein 1,
LYN,lyn,"LYN proto-oncogene, Src family tyrosine kinase",
SCRIB,,,
kif3cb,kif3cb,kinesin family member 3Cb,nucleotide binding
hadhab,hadhab,hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha b,
palm2akap2,palm2akap2,palm2 and akap2 fusion,membrane
PDXDC1,pdxdc1,pyridoxal-dependent decarboxylase domain containing 1,
GRIN3A,grin3a,"glutamate receptor, ionotropic, N-methyl-D-aspartate 3A",membrane
SPPL3,sppl3,signal peptide peptidase 3,
GNAZ,gnaz,"guanine nucleotide binding protein (G protein), alpha z polypeptide",
paqr3b,LOC111563126,progestin and adipoQ receptor family member 3-like,metal ion binding
SLC26A1,slc26a1,solute carrier family 26 member 1,
si:dkey-247m21.3,si:dkey-247m21.3,5-hydroxytryptamine receptor 4,
PHF24,phf24,PHD finger protein 24,
sh3bp1,sh3bp1,SH3-domain binding protein 1,
PIGO,pigo,"phosphatidylinositol glycan anchor biosynthesis, class O",membrane
zgc:195001,LOC111584605,stonustoxin subunit beta-like,
pdap1a,pdap1a,pdgfa associated protein 1a,
,LOC111584921,circularly permutated Ras protein 1-like,endoplasmic reticulum to Golgi vesicle-mediated transport
STOML2,LOC111573550,"stomatin-like protein 2, mitochondrial",
ZNF668,znf668,zinc finger protein 668,
ZNF646,znf646,zinc finger protein 646,
RNF40,rnf40,ring finger protein 40,
arih1l,arih1,ariadne ubiquitin-conjugating enzyme E2 binding protein homolog 1 (Drosophila),
si:dkey-73n10.1,c3h15orf39,chromosome 3 C15orf39 homolog,
KIF23,kif23,kinesin family member 23,
MORC3,,,
pmt,pmt,phosphoethanolamine methyltransferase,transferase activity
,LOC111575953,huntingtin-interacting protein 1-related protein-like,
MID2,mid2,midline 2,
UBB,,,cytoplasm
,alkal2b,ALK and LTK ligand 2b,
stox2a,nhsl1a,NHS-like 1a,
FBXO3,,,
cdk5r2a,LOC111574205,cyclin-dependent kinase 5 activator 2-like,retina layer formation
,thbs4b,thrombospondin 4b,
AMHR2,LOC111576291,anti-Muellerian hormone type-2 receptor-like,
rps27.1,,,
DYSF,,,
IMPA1,,,
IMPA1,LOC111587681,inositol monophosphatase 1,
,eif5a,eukaryotic translation initiation factor 5A,
rpl22l1,rpl22l1,ribosomal protein L22-like 1,RNA binding
slc7a14b,slc7a14b,solute carrier family 7 member 14b,
cldn11b,cldn11b,claudin 11b,
,LOC111583761,polyhomeotic-like protein 3,
TUBB6,tubb6,"tubulin, beta 6 class V",
RGN,,,
DIPK1C,dipk1c,divergent protein kinase domain 1C,
,LOC111585898,uncharacterized protein C18orf63,
NUB1,nub1,negative regulator of ubiquitin-like proteins 1,
tfr1b,,,
VPS16,vps16,VPS16 core subunit of CORVET and HOPS complexes,
zgc:194621,zgc:194621,uncharacterized LOC111571269,
RIOK3,riok3,RIO kinase 3 (yeast),
MYOT,tbc1d2,"TBC1 domain family, member 2",
MYOT,myot,myotilin,
XYLB,xylb,xylulokinase homolog (H. influenzae),
HDAC3,hdac3,histone deacetylase 3,
zgc:153184,zgc:153184,uncharacterized LOC111563622,
bco2b,,,metal ion binding
SEMA7A,sema7a,semaphorin 7A,membrane
PEX11A,pex11a,peroxisomal biogenesis factor 11 alpha,
si:ch211-13k12.2,LOC111585784,RNA polymerase II elongation factor ELL,
zgc:162879,rasef2,RAS and EF-hand domain containing 2,GTP binding
ZBTB47,zbtb47b,zinc finger and BTB domain containing 47b,
klhl40b,klhl40b,kelch-like family member 40b,A band
LRMDA,,,
ETFA,etfa,electron transfer flavoprotein subunit alpha,
VPS41,vps41,VPS41 subunit of HOPS complex,
kcnma1a,,,membrane
slc44a1b,slc44a1b,solute carrier family 44 member 1b,
slc6a1a,slc6a1a,solute carrier family 6 member 1a,
tnnc1a,tnnc1a,troponin C type 1a (slow),
il17rc,wu:fl23c11,interleukin-17 receptor C,
,LOC111588736,uncharacterized LOC111588736,membrane
rap1aa,rap1aa,"RAP1A, member of RAS oncogene family a",
XKR7,xkr7a,XK related 7a,membrane
wasa,LOC111588329,actin nucleation-promoting factor WAS,nucleus
sema3ga,LOC111588328,semaphorin-3F-like,
PRRC2B,prrc2b,proline-rich coiled-coil 2B,
SNCA,LOC111585205,alpha-synuclein-like,
ZNF532,znf532,zinc finger protein 532,metal ion binding
PTCD2,ptcd2,pentatricopeptide repeat domain 2,mitochondrion
DOLPP1,dolpp1,dolichyldiphosphatase 1,membrane
GFM2,,,
gfi1ab,gfi1ab,growth factor independent 1A transcription repressor b,
evi5b,evi5b,ecotropic viral integration site 5b,
HEXB,,,
ALDH5A1,aldh5a1,"aldehyde dehydrogenase 5 family, member A1 (succinate-semialdehyde dehydrogenase)",
HES2,hes2.1,"hes family bHLH transcription factor 2, tandem duplicate 1",
TAS1R1,LOC111571388,taste receptor type 1 member 1,membrane
si:ch73-215d9.1,kiaa0319,KIAA0319 ortholog,membrane
TBX20,tbx20,T-box transcription factor 20,angiogenesis
thsd7ab,,,
TMEM266,tmem266,transmembrane protein 266,mitochondrion organization
ankmy2a,ankmy2a,ankyrin repeat and MYND domain containing 2a,
UNC13B,LOC111573549,protein unc-13 homolog B-like,
VWDE,seraf,Schwann cell-specific EGF-like repeat autocrine factor,anatomical structure development
si:dkey-30e9.7,vwde,von Willebrand factor D and EGF domains,membrane
AGMO,agmo,alkylglycerol monooxygenase,
ELK3,LOC111566793,ETS transcription factor ELK3,
CDK17,LOC111566781,cyclin-dependent kinase 17-like,
HS3ST5,LOC111587138,heparan sulfate glucosamine 3-O-sulfotransferase 5,
olfcb1,,,membrane
kcnh4b,LOC111566724,potassium voltage-gated channel subfamily H member 4-like,
GPR63,gpr63,G protein-coupled receptor 63,
zgc:112001,LOC111572598,ankyrin repeat domain-containing protein 9,
EPHA7,epha7,eph receptor A7,
ADAM11,adam11,ADAM metallopeptidase domain 11,
EIF2S2,eif2s2,"eukaryotic translation initiation factor 2, subunit 2 beta",
mkrn4,mkrn4,"makorin, ring finger protein, 4",metal ion binding
ppardb,ppardb,peroxisome proliferator-activated receptor delta b,
